<<<<<<< HEAD
790 74 171
605 852 171
806 251 171
869 504 171
486 7 144
196 640 144
950 121 179
968 227 179
764 678 171
597 982 179
866 561 171
37 956 179
771 519 171
212 343 144
533 197 144
380 322 144
271 985 179
173 428 144
235 41 128
284 73 128
399 831 171
64 348 144
951 31 179
574 715 171
60 523 144
48 925 179
83 436 144
233 205 128
955 444 179
899 487 179
641 279 144
160 263 128
263 684 145
42 849 171
724 325 171
<<<<<<< HEAD
6273 9123 257
4155 7336 262
5822 7458 262
9366 2748 262
1172 1777 180
270 5219 238
8702 1704 262
4654 9934 262
908 3960 238
6729 2807 262
5798 8721 262
7085 1309 262
5335 2699 238
992 6377 262
8899 2716 262
1053 5172 238
8190 1560 262
2507 4011 238
9017 8225 247
3110 6540 262
1 3379 217
8110 5054 262
5082 9115 262
1339 5990 238
9427 8068 260
5148 5224 179
6788 2232 262
6533 2123 262
1282 3876 238
4851 180 238
6591 2255 262
5351 1132 238
3814 7858 262
1495 9182 262
6082 4604 236
5721 2434 238
7983 182 262
7488 9416 260
9297 8826 260
5405 8723 262
6893 552 262
298 33 128
9135 3182 262
8507 416 262
7058 9709 260
596 10000 262
1963 2298 183
7484 5777 262
155 8978 262
1310 2588 209
9933 3383 262
5022 4267 215
3564 8861 262
3683 9212 262
7686 9087 252
4286 931 238
5991 4584 236
7315 1477 262
4117 5821 236
1893 7526 262
5529 8840 262
7526 7491 208
1137 1361 182
9619 7644 260
338 929 179
6583 6622 244
4311 7956 262
889 4226 238
6816 4571 262
3438 854 217
9 7723 262
1784 2351 183
8658 9098 247
3828 9127 262
1270 2072 180
6652 3150 262
911 529 179
640 8399 262
1889 6611 262
2394 8578 262
3891 8977 262
5200 4553 210
6932 6088 262
8778 100 262
658 8567 262
953 7018 262
2642 2736 160
9369 1299 262
8185 3196 262
6777 5806 262
5267 3429 238
8955 2529 262
309 9594 262
7279 2198 262
2556 9673 262
775 6446 262
5001 2326 238
998 8284 262
8413 6128 262
8383 5422 262
4694 9335 262
2440 7335 262
8422 8160 234
4986 2958 238
1355 1762 180
8763 2973 262
1542 7717 262
1853 1851 131
3663 5483 238
400 6218 262
5155 1174 238
9016 6507 257
9852 6365 260
4791 8264 262
2492 3173 217
38 3538 217
8860 8829 172
872 7281 262
6988 5857 262
6591 8342 257
3971 5353 215
7666 5512 262
3070 9518 262
7362 3084 262
1352 4113 238
9301 6507 260
1639 4668 238
9365 1490 262
1033 4155 238
6105 9876 262
3680 6142 238
3413 2539 217
4970 637 238
6171 1957 262
2845 2761 173
6650 6815 182
4466 4315 215
2327 3887 238
184 6040 238
6970 1536 262
153 2622 209
4394 1791 238
7290 110 262
9632 4674 262
4265 5736 236
4549 4296 215
1878 4314 238
6834 3199 262
4950 9356 262
5156 7794 262
8469 8157 234
961 2934 217
8824 3287 262
3172 5359 238
5678 141 238
3246 2182 217
2762 3991 238
324 51 131
4101 9955 262
1076 8365 262
2043 5625 238
2660 3920 238
6290 5845 262
3470 1239 217
1552 4977 238
5384 20 238
3134 6344 262
9305 1957 262
5982 2476 238
3667 8012 262
8968 6913 257
193 1730 182
903 6869 262
8132 5003 262
3175 9208 262
9719 5217 262
1184 2378 183
5488 7473 262
4574 8958 262
5063 6126 236
3934 6798 262
2497 3419 217
3142 8154 262
1727 5475 238
6981 5394 262
3486 5949 238
2306 31 183
4030 9560 262
6899 2161 262
4563 6425 262
7720 4281 262
1642 8903 262
3011 3481 199
2727 7584 262
8790 4141 262
3709 2724 217
939 2558 209
2494 432 209
711 4221 238
5906 7691 262
49614 29392 324
63639 38271 340
79422 27668 351
7830 2672 262
96181 58744 351
9096 13900 276
43025 37089 306
49155 52387 309
10570 58233 340
79970 55711 351
92374 31 351
98434 9664 351
32588 67280 340
20095 29650 308
91500 22352 351
7340 57465 340
51743 87331 351
12087 47516 324
31350 19916 308
50187 43882 314
95012 75635 351
74134 54388 335
12723 23288 279
6774 39644 324
81520 86743 320
95355 90245 333
3125 10140 262
16260 52064 324
77419 36354 351
81713 85270 320
58706 5405 340
42734 26800 324
92735 54820 351
74316 40436 340
91088 40854 351
670 2451 183
16488 74803 340
56838 45563 340
98090 63611 351
85206 95961 333
66705 96912 351
2558 69830 340
23404 18817 274
21893 822 279
71523 3606 340
2444 46580 324
25362 61529 340
73379 34448 340
32701 64046 340
74883 23788 340
4900 75552 340
42590 21387 324
50354 99427 351
66949 64795 268
63037 68507 330
77108 46093 351
65418 79665 351
15922 88821 351
98481 54167 351
5995 86355 351
74124 8438 340
32934 99485 351
86318 6313 351
33932 19018 308
86710 25166 351
59157 91609 351
17070 1746 276
12996 67423 340
1172 96296 351
48570 80560 351
64802 25677 340
26653 46572 324
5341 58926 340
51744 20173 324
13092 74090 340
6528 3567 262
98879 55813 351
3051 85197 351
62125 53334 335
4214 65187 340
78500 63371 351
56795 95569 351
65116 86142 351
79343 82640 320
82438 44264 351
63199 63591 330
69940 6203 340
26514 91632 351
65129 78258 351
11805 94572 351
52347 34684 324
98139 51226 351
90496 17541 351
36422 68973 340
87227 40635 351
34159 65726 340
20357 90953 351
77646 85473 338
93447 73340 351
68112 75884 325
17604 47662 324
55826 87543 351
70217 82340 351
79175 35345 351
60597 7331 340
46268 29295 324
42014 60758 340
80520 48861 351
94651 33293 351
17833 81877 351
90280 51991 351
63954 10636 340
59296 41599 340
96108 52742 351
14938 80571 351
44977 32541 324
44585 802 324
20084 14801 279
99493 15610 351
66497 76441 325
22940 12764 279
5736 81305 351
89874 2607 351
30165 84524 351
52252 64350 340
82752 42531 351
16340 46705 324
53166 91987 351
88303 65626 351
61080 19592 340
62548 22408 340
68485 7132 340
39562 4920 324
21932 39054 324
20529 88428 351
15495 59820 340
17544 37582 324
41124 23769 324
40188 87640 351
24644 92439 351
51989 7395 324
51321 84681 351
54099 4487 340
93019 58753 351
86464 54099 351
94696 49011 351
76506 63180 330
56143 16067 340
68099 94426 351
71473 4979 340
82854 86967 320
64798 16749 340
24548 22273 282
40517 81087 351
9913 65160 340
89878 61901 351
72554 41198 340
62933 43004 340
62036 55952 335
18108 48499 324
10050 29155 308
13862 2907 276
92335 70004 351
35326 76785 340
64429 6798 340
81764 63634 351
10116 46561 324
80382 51015 351
85186 20898 351
32101 95098 351
2409 38330 324
73350 91314 351
95880 52635 351
34317 57915 340
8586 68776 340
22766 34987 311
97931 36627 351
37893 6617 324
6630 89570 351
99753 87410 333
96367 81516 333
67396 22834 340
44429 47777 314
73848 29614 340
85027 22301 351
41063 3787 324
60630 30764 340
95101 56509 351
83398 29417 351
30776 91983 351
14545 53541 340
43321 28827 324
6519 97566 351
51795 29500 324
87135 51547 351
16909 99854 351
33063 84304 351
22687 93843 351
48433 96535 351
39808 49811 314
618835 480870 470
453597 95816 449
827985 748697 468
352325 511383 449
194466 99452 383
519717 825362 468
869344 563038 468
654188 375862 470
360603 305982 441
705361 64089 470
273880 938621 476
363942 823294 470
22925 886629 470
17136 387709 443
483163 556943 470
753871 101997 470
554164 207467 470
197812 898501 470
472516 66488 449
926235 183333 476
682291 445951 470
8694 551634 470
525340 662881 452
927495 402294 476
485214 632855 470
466383 275445 449
571476 830324 468
98739 110752 354
716952 115874 470
14812 716466 470
189169 768682 470
334814 259684 407
492500 48978 449
674536 965015 476
115465 600770 470
148347 314108 443
563073 673392 447
865741 88412 470
852624 309588 470
7058 337837 443
458794 473440 444
613282 546621 452
820115 228372 470
657372 53419 470
860597 188535 470
769884 49765 470
473568 104698 449
825801 966068 476
153675 500336 449
447434 785491 470
617458 112133 470
615950 180530 470
785524 481691 470
785293 638148 468
307630 792350 470
492336 766423 470
782141 621969 468
313044 602256 470
850340 486767 470
172026 710937 470
191654 458261 449
277053 665221 470
562958 619205 447
631288 232984 470
119541 78722 354
534827 736998 452
707206 667128 442
433879 492729 444
665170 219171 470
647228 972799 476
11521 139564 354
739222 793661 468
277884 568617 470
912268 128224 476
55383 84293 351
355512 247036 441
542554 632564 452
428609 621863 470
251769 59896 443
371199 887661 470
654969 422377 470
141010 362174 443
89504 574888 470
371255 754674 470
794058 18482 470
243824 321930 407
674397 983045 476
631943 952281 476
68013 544210 470
596856 639748 447
144855 952367 476
403135 203760 443
101282 831743 470
341974 869402 470
891639 713172 468
273414 62959 443
651900 414423 470
941485 257756 476
505662 829091 470
528781 816072 468
363924 772604 470
138001 38321 354
272001 769943 470
506953 340013 449
830505 103808 470
979760 975359 383
572526 382895 470
179118 190159 365
214637 521091 470
59561 622627 470
750615 332974 470
201938 918866 476
263749 143422 443
176621 769410 470
488864 705401 470
101833 852787 470
478005 239834 449
407459 266357 441
526128 914411 476
606369 356632 470
534570 586129 452
848342 623447 468
485375 27459 449
813606 700011 468
64902 873166 470
838990 331868 470
722491 40927 470
250733 986239 476
700700 943706 476
272001 189563 443
165458 373833 443
42349 643462 470
130018 449808 449
426170 172498 449
880570 32539 470
529129 415140 470
135019 377471 443
38586 620393 470
921281 368543 476
836755 502534 470
241708 675744 470
834401 480551 470
233022 601486 470
466789 933721 476
545191 255141 470
639635 710648 442
145326 681984 470
870462 791695 468
648143 296631 470
964192 45064 476
845521 493321 470
976555 980539 383
387143 531493 470
600931 308423 470
900035 437686 470
327309 658095 470
629781 161709 470
138645 862803 470
279546 121785 443
796523 341088 470
376926 436158 449
51736 38603 314
634493 438549 470
830297 798987 450
251531 310841 407
844050 97052 470
320513 336957 384
77590 707655 470
868449 194873 470
532429 768483 468
632558 376089 470
426577 262338 449
537798 565221 452
125140 333695 443
687006 438015 470
674783 580283 447
390524 242870 441
135237 25016 354
681418 481885 470
340354 449300 449
792725 700755 468
546351 113237 470
37711 140293 354
337243 906159 470
335165 386024 441
674642 967722 476
762112 617570 442
746411 816261 468
182791 387903 443
149956 386148 443
825917 341090 470
482782 216440 449
583959 618018 447
757807 265376 470
99902 614512 470
714675 408979 470
315266 777378 470
38567 352977 443
917670 892162 476
259135 252834 363
=======
273 123 128
155 336 144
822 458 171
366 748 171
172 777 171
270 219 128
702 704 171
654 934 179
908 960 174
729 807 153
798 721 153
85 309 128
335 699 145
992 377 179
899 716 179
53 172 125
190 560 144
507 11 144
17 225 125
110 540 144
1 379 144
110 54 119
82 115 119
339 990 179
427 68 144
148 224 125
788 232 171
533 123 144
282 876 179
851 180 171
591 255 144
351 132 144
814 858 135
495 182 144
82 604 144
721 434 171
983 182 179
488 416 142
297 826 171
405 723 171
893 552 179
298 33 128
135 182 125
507 416 142
58 709 171
596 1000 179
963 298 179
484 777 171
155 978 179
310 588 144
933 383 179
22 267 128
564 861 171
683 212 145
686 87 145
286 931 179
991 584 179
315 477 144
117 821 171
893 526 179
529 840 171
526 491 142
137 361 144
619 644 132
338 929 179
583 622 132
311 956 179
889 226 179
816 571 171
438 854 171
9 723 171
784 351 171
658 98 145
828 127 171
270 72 128
652 150 145
911 529 179
640 399 142
889 611 179
394 578 142
891 977 174
200 553 144
932 88 179
778 100 171
658 567 145
953 18 179
642 736 171
369 299 144
185 196 120
777 806 122
267 429 144
955 529 179
309 594 144
279 198 128
556 673 145
775 446 171
1 326 131
998 284 179
413 128 144
383 422 134
694 335 145
440 335 134
422 160 144
986 958 143
355 762 171
763 973 179
542 717 171
853 851 60
663 483 145
400 218 144
155 174 125
16 507 144
852 365 171
791 264 171
492 173 144
38 538 144
860 829 148
872 281 179
988 857 179
591 342 142
971 353 179
666 512 145
70 518 144
362 84 144
352 113 144
301 507 144
639 668 145
365 490 142
33 155 122
105 876 179
680 142 145
413 539 142
970 637 179
171 957 179
845 761 153
650 815 171
466 315 144
327 887 179
184 40 125
970 536 179
153 622 144
394 791 171
290 110 128
632 674 145
265 736 171
549 296 144
878 314 179
834 199 171
950 356 179
156 794 171
469 157 144
961 934 174
824 287 171
172 359 144
678 141 145
246 182 128
762 991 179
324 51 131
101 955 179
76 365 144
43 625 144
660 920 179
290 845 171
470 239 144
552 977 179
384 20 144
134 344 144
305 957 179
982 476 179
667 12 145
968 913 174
193 730 171
903 869 179
132 3 122
175 208 120
719 217 171
184 378 144
488 473 142
574 958 179
63 126 119
934 798 179
497 419 142
142 154 117
727 475 171
981 394 179
486 949 179
306 31 128
30 560 144
899 161 179
563 425 142
720 281 171
642 903 179
11 481 144
727 584 171
790 141 171
709 724 65
939 558 179
494 432 142
711 221 171
906 691 179
614 392 142
639 271 144
422 668 145
830 672 171
181 744 171
96 900 179
25 89 116
155 387 144
570 233 144
970 711 179
374 31 144
434 664 145
588 280 144
95 650 145
500 352 142
340 465 134
743 331 171
87 516 144
350 916 179
187 882 179
12 635 144
134 388 144
723 288 171
774 644 171
520 743 171
355 245 144
125 140 122
260 64 128
419 354 134
713 270 171
706 405 171
734 800 153
735 820 153
316 436 144
88 854 171
670 451 145
488 803 171
838 563 171
90 611 144
206 961 179
705 912 179
558 830 171
404 817 171
893 822 179
523 606 137
444 580 142
362 529 142
379 448 134
701 46 145
883 788 179
900 552 179
590 387 142
354 427 134
949 795 179
37 507 144
108 93 119
418 665 145
922 821 179
481 167 144
995 355 179
124 438 144
934 485 179
318 313 131
932 18 179
710 166 171
157 609 144
70 746 171
996 423 179
172 296 128
570 560 106
802 677 171
653 572 145
341 926 179
744 173 171
92 90 93
528 567 137
879 813 179
51 197 125
125 334 144
214 187 120
500 371 142
795 569 171
116 142 122
343 640 142
438 264 144
199 591 144
940 203 179
514 632 137
129 258 128
805 572 171
347 684 145
139 226 125
496 541 124
422 973 179
227 635 144
159 726 171
357 953 179
646 473 142
447 340 134
112 884 179
604 662 145
826 543 171
217 340 144
175 345 144
597 331 142
268 295 118
14 758 171
520 861 171
651 293 145
833 877 179
280 991 179
954 636 179
296 599 144
108 742 171
938 571 179
977 541 179
585 802 171
84 801 171
493 610 137
497 441 142
940 764 179
736 305 171
874 607 179
165 524 144
252 350 144
752 531 171
340 705 171
166 987 179
303 626 144
80 592 144
548 408 142
485 132 144
562 920 179
932 54 179
529 428 142
495 820 171
544 582 137
124 769 171
188 640 144
644 439 142
989 395 179
321 681 145
99 487 144
19 753 171
464 99 144
696 11 145
506 180 144
143 67 122
99 426 144
473 979 179
854 967 179
798 749 153
548 273 144
517 87 144
913 160 179
878 901 148
554 198 144
933 4 179
36 952 179
108 499 144
50 155 122
862 907 179
335 4 144
326 785 171
429 798 171
764 634 171
116 561 144
382 15 144
186 898 179
101 98 26
409 330 126
350 314 144
880 635 179
317 915 179
586 776 171
766 987 179
931 627 179
893 617 179
630 570 132
753 410 171
367 516 142
396 834 171
429 777 171
848 614 171
27 301 128
63 787 171
630 764 171
101 509 144
398 417 134
776 983 179
545 541 137
321 827 171
519 566 137
795 500 171
135 547 144
909 854 179
63 304 128
687 843 171
433 535 142
808 811 135
835 870 148
597 816 171
985 697 179
325 383 144
466 452 129
717 362 171
344 38 144
188 862 171
603 982 179
361 89 144
880 621 179
942 294 179
925 629 179
136 709 171
163 943 179
871 997 179
164 467 144
812 501 171
516 488 142
235 333 144
291 951 179
694 634 145
340 881 179
495 294 144
214 855 171
383 445 134
476 324 144
739 752 140
952 874 174
812 466 171
169 682 145
814 684 171
500 978 179
536 15 144
465 770 171
347 108 144
73 392 144
741 412 171
624 588 132
58 837 171
794 440 171
282 621 144
115 372 144
372 419 134
597 535 137
884 765 179
568 698 145
801 68 171
675 336 145
434 491 142
458 133 144
950 530 179
524 691 145
293 148 128
630 350 142
336 423 134
141 969 179
44 256 128
340 767 171
26 937 179
654 261 145
53 221 125
958 205 179
288 984 179
541 722 171
827 998 179
206 128 125
879 729 179
170 171 125
228 799 171
521 564 137
222 661 145
884 617 179
268 224 128
383 293 144
512 36 144
554 564 88
609 863 171
769 896 179
199 661 145
969 377 179
10 174 125
504 888 179
255 674 145
58 482 144
824 930 179
397 45 144
943 281 179
13 210 125
856 748 153
855 367 171
135 760 171
282 743 171
974 402 179
639 172 144
414 959 179
900 423 179
485 756 171
662 91 145
781 72 171
924 604 179
1 321 131
1 943 179
953 13 179
505 808 171
760 359 171
526 895 179
118 159 122
637 91 144
561 627 132
615 974 179
938 866 179
749 422 171
621 410 142
864 401 171
833 787 135
5 834 171
459 357 134
128 411 144
369 632 142
570 129 144
342 447 134
375 459 134
606 11 144
902 166 179
990 868 179
491 927 179
733 239 171
700 706 171
1 563 144
458 833 171
349 462 134
18 808 171
170 498 144
570 539 137
129 140 122
19 471 144
586 393 142
281 543 144
755 534 171
708 744 140
401 551 142
22 486 144
789 721 153
191 141 125
635 648 132
326 984 179
462 695 145
143 631 144
192 64 125
521 321 144
555 539 137
143 493 144
931 423 179
35 686 145
309 95 128
781 709 153
645 803 171
546 785 171
523 88 144
926 158 179
736 603 171
493 549 137
297 987 179
531 841 171
50 52 25
513 957 179
590 655 145
449 873 179
429 483 129
558 89 144
577 338 142
798 221 171
140 695 145
6 15 20
783 283 171
524 870 171
237 16 128
418 885 179
354 300 144
725 755 140
351 237 144
711 293 171
243 159 128
165 24 122
642 722 171
112 570 144
411 261 144
791 903 179
956 148 179
917 90 179
782 440 171
959 18 179
807 376 171
902 512 179
675 979 179
266 378 144
567 977 179
670 162 145
135 834 171
>>>>>>> 6180842dcfa583d8f2feb2627c09fed3dacebfa2
